start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1398.7775,1398.7851,43515.0,61855.0,Echolocation,Pipistrellus nathusii,0.248,0.526,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1399.3995,1399.407,40078.0,49950.0,Echolocation,Pipistrellus nathusii,0.602,0.636,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1400.5805,1400.5864,40937.0,63266.0,Echolocation,Pipistrellus nathusii,0.252,0.505,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1403.9755,1403.9841,41796.0,56328.0,Echolocation,Pipistrellus nathusii,0.49,0.57,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.0715,1404.0792,41796.0,58292.0,Echolocation,Pipistrellus nathusii,0.32,0.512,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.1675,1404.1748,40937.0,57049.0,Echolocation,Pipistrellus nathusii,0.4,0.504,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.2575,1404.2669,41796.0,59622.0,Echolocation,Pipistrellus nathusii,0.332,0.545,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.4235,1404.4324,41796.0,63083.0,Echolocation,Pipistrellus nathusii,0.345,0.508,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.8535,1404.8618,42656.0,61558.0,Echolocation,Pipistrellus pipistrellus,0.171,0.521,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1404.9985,1405.0049,42656.0,61079.0,Echolocation,Pipistrellus nathusii,0.247,0.546,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1405.3005,1405.3076,42656.0,64111.0,Echolocation,Pipistrellus pipistrellus,0.209,0.521,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1405.9585,1405.9671,40937.0,53169.0,Echolocation,Pipistrellus nathusii,0.333,0.519,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1406.3495,1406.3565,40937.0,64846.0,Echolocation,Pipistrellus nathusii,0.268,0.531,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1407.4885,1407.4981,42656.0,58445.0,Echolocation,Pipistrellus nathusii,0.245,0.506,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1409.2955,1409.303,41796.0,65593.0,Echolocation,Pipistrellus nathusii,0.361,0.517,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1412.9935,1412.9998,40937.0,61999.0,Echolocation,Pipistrellus nathusii,0.424,0.509,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1413.0795,1413.085,40937.0,56767.0,Echolocation,Pipistrellus nathusii,0.308,0.516,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1414.2145,1414.2221,42656.0,49483.0,Echolocation,Pipistrellus nathusii,0.251,0.526,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1414.2935,1414.2989,39218.0,54766.0,Echolocation,Myotis daubentonii,0.174,0.525,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1414.5335,1414.5408,41796.0,57765.0,Echolocation,Pipistrellus pipistrellus,0.211,0.541,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1415.2655,1415.2742,42656.0,59689.0,Echolocation,Pipistrellus nathusii,0.191,0.575,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1415.3375,1415.3459,40937.0,65015.0,Echolocation,Pipistrellus nathusii,0.172,0.505,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1415.4165,1415.4244,41796.0,59655.0,Echolocation,Pipistrellus nathusii,0.166,0.531,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1415.7065,1415.7118,44375.0,57936.0,Echolocation,Pipistrellus pipistrellus,0.447,0.54,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1416.3325,1416.3405,40937.0,48015.0,Echolocation,Pipistrellus nathusii,0.423,0.527,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1417.7945,1417.8017,41796.0,60280.0,Echolocation,Pipistrellus nathusii,0.427,0.579,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1417.8665,1417.873,40937.0,54640.0,Echolocation,Pipistrellus nathusii,0.431,0.528,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1418.3025,1418.3097,40078.0,60263.0,Echolocation,Pipistrellus nathusii,0.433,0.505,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1418.3905,1418.3982,40937.0,62536.0,Echolocation,Pipistrellus nathusii,0.372,0.515,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1418.6785,1418.6862,40937.0,54969.0,Echolocation,Pipistrellus nathusii,0.457,0.52,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
