KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,337.361428,31250.0,32640.000000000004,1.584659524070876,1537.3515,1537.3661,25468.0,31734.0,Echolocation,Nyctalus leisleri,0.33,0.507,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:51.351500000,2025-05-02 03:55:51.351500000,2025-05-02 03:55:51.366100000,1537.3515,1537.3661
LF,337.828664,31250.0,30720.0,1.2634576705832268,1537.8215,1537.8364000000001,26328.0,30852.0,Echolocation,Nyctalus leisleri,0.281,0.378,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:51.821500000,2025-05-02 03:55:51.821500000,2025-05-02 03:55:51.836400000,1537.8215,1537.8364000000001
LF,338.382108,31250.0,30720.0,1.8826858205922468,1538.3785,1538.3926999999999,25468.0,30408.0,Echolocation,Nyctalus leisleri,0.322,0.462,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:52.378500000,2025-05-02 03:55:52.378500000,2025-05-02 03:55:52.392699999,1538.3785,1538.3926999999999
LF,338.683136,31250.0,26880.000000000004,1.4390355450341528,1538.6765,1538.6926,25468.0,29733.0,Echolocation,Nyctalus leisleri,0.336,0.411,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:52.676500000,2025-05-02 03:55:52.676500000,2025-05-02 03:55:52.692600000,1538.6765,1538.6926
LF,338.92792,23437.5,26880.000000000004,4.657612154187388,1538.9245,1538.939,25468.0,29503.0,Echolocation,Nyctalus leisleri,0.484,0.61,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel2_1200to1800.WAV,LF,2025-05-02 03:55:52.924500000,2025-05-02 03:55:52.924500000,2025-05-02 03:55:52.939000000,1538.9245,1538.939
LF,339.212668,31250.0,26880.000000000004,6.573233358749697,1539.2085,1539.2227,26328.0,29031.0,Echolocation,Nyctalus leisleri,0.527,0.626,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:53.208500000,2025-05-02 03:55:53.208500000,2025-05-02 03:55:53.222700000,1539.2085,1539.2227
LF,339.48424,23437.5,26880.000000000004,3.327006008356258,1539.4765,1539.4906,25468.0,30021.0,Echolocation,Nyctalus leisleri,0.458,0.623,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel2_1200to1800.WAV,LF,2025-05-02 03:55:53.476500000,2025-05-02 03:55:53.476500000,2025-05-02 03:55:53.490600000,1539.4765,1539.4906
LF,341.07332,31250.0,26880.000000000004,1.204826177208001,1541.0665,1541.0804,25468.0,29649.0,Echolocation,Nyctalus leisleri,0.265,0.367,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:55.066500000,2025-05-02 03:55:55.066500000,2025-05-02 03:55:55.080400000,1541.0665,1541.0804
LF,341.77826,31250.0,26880.000000000004,1.1152514837016465,1541.7645,1541.7793,25468.0,30363.0,Echolocation,Nyctalus leisleri,0.31,0.426,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel5_1200to1800.WAV,LF,2025-05-02 03:55:55.764500000,2025-05-02 03:55:55.764500000,2025-05-02 03:55:55.779300000,1541.7645,1541.7793
LF,342.715324,23437.5,26880.000000000004,2.366138024115219,1542.7055,1542.7239,25468.0,28992.0,Echolocation,Nyctalus leisleri,0.306,0.372,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel2_1200to1800.WAV,LF,2025-05-02 03:55:56.705500000,2025-05-02 03:55:56.705500000,2025-05-02 03:55:56.723900000,1542.7055,1542.7239
