Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	13.297333333333334	50250.0	49920.0	2.809166224413389	13.2955	13.3035	49531	56929	Pipistrellus pipistrellus	0.021	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	86	Waveform 1	1
HF	13.469266666666666	51000.0	50880.0	3.238023899913252	13.4645	13.4719	48671	54751	Pipistrellus pipistrellus	0.025	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	87	Waveform 1	1
LF	14.1856	24000.0	23040.0	2.5299331439822343	14.1805	14.1899	22031	29650	Plecotus austriacus	0.015	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	88	Waveform 1	1
HF	14.259033333333331	55500.0	53760.00000000001	2.6295862578474622	14.2505	14.2658	53828	58955	Pipistrellus pygmaeus	0.088	0.096	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	89	Waveform 1	1
LF	14.319	26250.0	24960.0	2.157370709755546	14.3185	14.3255	24609	34205	Plecotus austriacus	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	90	Waveform 1	1
LF	14.390299999999998	34500.0	34560.0	2.295504714666989	14.3865	14.3937	28906	42694	Eptesicus serotinus	0.008	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	91	Waveform 1	1
LF	14.517599999999998	14250.0	14400.0	6.73255528598156	14.5155	14.5244	13437	17166	Nyctalus leisleri	0.015	0.045	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	92	Waveform 1	1
LF	14.748266666666666	21000.0	21120.0	7.186015867640686	14.7465	14.7534	14296	25570	Plecotus auritus	0.027	0.043	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	93	Waveform 1	1
LF	14.786566666666667	17250.0	18240.0	5.61576928938762	14.7855	14.7931	14296	25800	Plecotus auritus	0.02	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	94	Waveform 1	1
HF	14.791066666666667	57000.0	54719.99999999999	2.926327544456862	14.7865	14.7941	52109	62335	Pipistrellus pipistrellus	0.022	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	95	Waveform 1	1
HF	14.926066666666667	56250.0	55679.99999999999	2.7699241320615444	14.9175	14.9316	52968	60702	Pipistrellus pipistrellus	0.022	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	96	Waveform 1	1
LF	15.129466666666668	33750.0	31680.0	2.112471982704323	15.1225	15.1312	28906	40044	Eptesicus serotinus	0.009	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	97	Waveform 1	1
LF	15.158966666666668	27000.0	27840.0	2.535482552147021	15.1545	15.1622	27187	39278	Eptesicus serotinus	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	98	Waveform 1	1
LF	15.19763333333333	35250.0	28800.0	2.4319446087443843	15.1955	15.2032	28906	40611	Eptesicus serotinus	0.014	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	99	Waveform 1	1
LF	15.241733333333332	21750.0	22080.0	5.314789144781901	15.2385	15.2451	18593	31237	Plecotus austriacus	0.054	0.1	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	100	Waveform 1	1
HF	15.588766666666666	45750.0	45120.0	3.508031094453872	15.5855	15.5944	44375	49695	Pipistrellus pipistrellus	0.025	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	101	Waveform 1	1
LF	15.5921	26250.0	25920.0	2.5547847012221307	15.5875	15.5939	24609	40860	Plecotus austriacus	0.019	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	102	Waveform 1	1
LF	15.662466666666669	20250.0	22080.0	3.202548334183529	15.6605	15.6672	16015	30418	Plecotus austriacus	0.038	0.077	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	103	Waveform 1	1
LF	15.679166666666667	21750.0	22080.0	2.837969250850417	15.6775	15.6845	15156	28657	Plecotus auritus	0.023	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	104	Waveform 1	1
HF	15.776466666666666	44250.0	47040.0	2.6606242790406136	15.7705	15.7802	44375	55116	Pipistrellus pipistrellus	0.014	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	105	Waveform 1	1
LF	15.939000000000002	20250.0	20160.0	2.8025823371134835	15.9235	15.94	19453	23069	Nyctalus noctula	0.036	0.073	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	106	Waveform 1	1
HF	15.988633333333334	58500.0	57600.0	3.352662816032901	15.9815	15.9912	57265	62955	Pipistrellus pygmaeus	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	107	Waveform 1	1
LF	15.986733333333332	34500.0	34560.0	2.4303230041650115	15.9835	15.9936	33203	42701	Eptesicus serotinus	0.005	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	108	Waveform 1	1
LF	16.020533333333333	30750.0	31680.0	2.6690007825850914	16.0195	16.0283	28906	37763	Eptesicus serotinus	0.008	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	109	Waveform 1	1
LF	16.11656666666667	17250.0	17280.0	6.563352624912669	16.1155	16.1301	16015	20975	Nyctalus noctula	0.021	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	110	Waveform 1	1
