Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	95.42933333333332	57000.0	55679.99999999999	2.1515884029407597	95.4285	95.434	36640	58348	Myotis brandtii	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	56	Waveform 1	1
HF	95.6793	54000.0	52800.00000000001	3.3688194178080955	95.6775	95.6832	34062	61119	Myotis brandtii	0.011	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	57	Waveform 1	1
HF	95.72083333333332	56250.0	52800.00000000001	4.878264791968713	95.7195	95.7245	52968	62611	Pipistrellus pygmaeus	0.219	0.229	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	58	Waveform 1	1
HF	95.7685	56250.0	56640.0	4.979409148207326	95.7665	95.772	34062	63316	Myotis brandtii	0.012	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	59	Waveform 1	1
HF	95.8194	55500.0	55679.99999999999	5.151890068573062	95.8175	95.8231	33203	65387	Myotis brandtii	0.011	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	60	Waveform 1	1
HF	95.87423333333334	57750.0	55679.99999999999	5.074598873880007	95.8735	95.8791	33203	65834	Myotis brandtii	0.011	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	61	Waveform 1	1
HF	95.9178	55500.0	54719.99999999999	6.202405047438818	95.9155	95.9207	53828	66142	Pipistrellus pygmaeus	0.137	0.145	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	62	Waveform 1	1
HF	95.96043333333331	57000.0	56640.0	7.4789853303382605	95.9595	95.9649	53828	64213	Pipistrellus pygmaeus	0.108	0.111	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	63	Waveform 1	1
HF	96.01493333333332	50250.0	49920.0	3.1242501958545437	96.0015	96.0154	47812	56054	Pipistrellus pipistrellus	0.025	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	64	Waveform 1	1
HF	96.014	57000.0	56640.0	4.6128893863145395	96.0125	96.0185	56406	62806	Pipistrellus pygmaeus	0.024	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	65	Waveform 1	1
HF	96.05953333333332	53250.0	48000.0	1.9447401245964704	96.0595	96.0658	29765	57038	Myotis daubentonii	0.015	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	66	Waveform 1	1
