KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,28800.0,2.792324858318519,7.2085,7.2118,24609.0,41631.0,Echolocation,Plecotus auritus,0.186,0.323,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,24000.0,3.5066551840595883,7.3925,7.3955,23750.0,43414.0,Echolocation,Plecotus austriacus,0.202,0.311,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,23040.0,4.339753126856706,47.433499999999995,47.4388,21171.0,33179.0,Echolocation,Plecotus austriacus,0.223,0.303,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,3.954038021031168,102.6555,102.6623,31484.0,42237.0,Echolocation,Eptesicus serotinus,0.195,0.31,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,4.032434760596021,134.0125,134.0154,29765.0,45217.0,Echolocation,Plecotus auritus,0.232,0.328,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,1.2416741411917367,138.2785,138.2883,27187.0,33729.0,Echolocation,Eptesicus serotinus,0.168,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,23040.0,4.507327967840769,147.2095,147.215,22031.0,36757.0,Echolocation,Plecotus austriacus,0.265,0.334,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,3.1417523852692293,202.9935,203.0012,26328.0,36146.0,Echolocation,Eptesicus serotinus,0.211,0.327,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_225000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,4.759644507610823,11.4085,11.4116,29765.0,43222.0,Echolocation,Myotis daubentonii,0.081,0.301,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,3.240493300909967,11.6485,11.6516,25468.0,43402.0,Echolocation,Plecotus austriacus,0.157,0.374,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,24960.0,2.981263153391987,26.5915,26.5945,23750.0,42624.0,Echolocation,Plecotus austriacus,0.297,0.457,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,3.641664764567821,33.8785,33.8816,28906.0,44513.0,Echolocation,Myotis daubentonii,0.098,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,2.738629934918385,63.6205,63.6238,27187.0,42744.0,Echolocation,Plecotus austriacus,0.21,0.351,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,7.1423065807272765,90.3255,90.329,28046.0,46953.0,Echolocation,Myotis daubentonii,0.095,0.31,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,40320.0,4.9425793480624165,106.6495,106.6528,31484.0,47923.0,Echolocation,Myotis daubentonii,0.17,0.364,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,0.9132067924913854,134.0035,134.007,22890.0,39351.0,Echolocation,Plecotus austriacus,0.227,0.335,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,7.730052007209824,145.16649999999998,145.1704,27187.0,40900.0,Echolocation,Plecotus auritus,0.131,0.31,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,4.521918445491734,166.2285,166.2326,28046.0,41398.0,Echolocation,Plecotus austriacus,0.084,0.33,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,33600.0,5.209057223082816,192.5845,192.58859999999999,29765.0,42706.0,Echolocation,Plecotus austriacus,0.098,0.33,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,8.140497842815096,192.8345,192.8377,29765.0,46151.0,Echolocation,Myotis daubentonii,0.101,0.312,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,40320.0,5.128445904218005,205.0795,205.0825,32343.0,50822.0,Echolocation,Myotis nattereri,0.098,0.34,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,24000.0,6.066606018556044,277.9405,277.9441,22031.0,40286.0,Echolocation,Plecotus austriacus,0.237,0.368,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,3.106937919551548,286.4475,286.4512,24609.0,38344.0,Echolocation,Plecotus austriacus,0.248,0.317,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_230000.WAV,recover-20260318,UBNA_022,E18 Bridge
