,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
234,6.0,0.55,43,85,43,0,42,0,1.0,0.5058823529411764,20220730_053000.WAV,Carp Pond
235,6.0,0.56,36,85,36,0,49,0,1.0,0.4235294117647059,20220730_053000.WAV,Carp Pond
236,6.0,0.57,31,85,31,0,54,0,1.0,0.36470588235294116,20220730_053000.WAV,Carp Pond
237,6.0,0.58,29,85,29,0,56,0,1.0,0.3411764705882353,20220730_053000.WAV,Carp Pond
238,6.0,0.59,27,85,27,0,58,0,1.0,0.3176470588235294,20220730_053000.WAV,Carp Pond
239,6.0,0.6,22,85,22,0,63,0,1.0,0.25882352941176473,20220730_053000.WAV,Carp Pond
240,8.0,0.01,97,65,61,36,4,0,0.6288659793814433,0.9384615384615385,20220730_053000.WAV,Carp Pond
241,8.0,0.02,97,65,61,36,4,0,0.6288659793814433,0.9384615384615385,20220730_053000.WAV,Carp Pond
242,8.0,0.03,92,65,61,31,4,0,0.6630434782608695,0.9384615384615385,20220730_053000.WAV,Carp Pond
243,8.0,0.04,88,65,61,27,4,0,0.6931818181818182,0.9384615384615385,20220730_053000.WAV,Carp Pond
244,8.0,0.05,81,65,61,20,4,0,0.7530864197530864,0.9384615384615385,20220730_053000.WAV,Carp Pond
