start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
9.0645,9.0769,23750.0,31038.0,Nyctalus leisleri,0.428,0.672,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
9.5175,9.5341,22031.0,26772.0,Nyctalus leisleri,0.309,0.536,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
9.6315,9.646,23750.0,32191.0,Nyctalus leisleri,0.328,0.58,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
9.7825,9.799,22890.0,27661.0,Nyctalus noctula,0.233,0.545,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
10.0165,10.0352,22031.0,28119.0,Nyctalus noctula,0.315,0.575,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
10.6875,10.7042,22890.0,30044.0,Nyctalus noctula,0.338,0.553,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
10.8465,10.8634,22890.0,27731.0,Nyctalus noctula,0.264,0.572,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
11.0225,11.0373,22890.0,30324.0,Nyctalus noctula,0.274,0.539,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
11.2065,11.2223,22890.0,31588.0,Nyctalus noctula,0.356,0.574,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
11.5685,11.5857,22890.0,32907.0,Nyctalus noctula,0.358,0.626,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
11.7605,11.7761,22031.0,27303.0,Nyctalus noctula,0.302,0.597,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
11.9825,11.9985,22031.0,26977.0,Nyctalus leisleri,0.271,0.58,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
12.2205,12.2401,21171.0,27617.0,Nyctalus noctula,0.557,0.719,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
12.4785,12.4942,22031.0,26956.0,Nyctalus leisleri,0.296,0.637,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
12.7595,12.7768,22031.0,26625.0,Nyctalus leisleri,0.461,0.585,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
13.0365,13.0575,21171.0,26317.0,Nyctalus noctula,0.446,0.634,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
13.3425,13.3597,22031.0,26418.0,Nyctalus leisleri,0.389,0.566,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
13.6175,13.6346,22031.0,26861.0,Nyctalus noctula,0.387,0.633,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
13.8915,13.9098,21171.0,27191.0,Nyctalus noctula,0.357,0.582,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
14.1585,14.1749,22031.0,27278.0,Nyctalus noctula,0.408,0.625,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
14.4385,14.4537,22031.0,27182.0,Nyctalus noctula,0.4,0.614,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
14.7105,14.7245,22031.0,27490.0,Nyctalus leisleri,0.238,0.616,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
14.9915,15.01,21171.0,26417.0,Nyctalus noctula,0.501,0.677,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
15.4455,15.4604,22890.0,27578.0,Nyctalus leisleri,0.302,0.557,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
15.7115,15.7231,22031.0,28059.0,Nyctalus leisleri,0.288,0.582,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
16.5905,16.6031,23750.0,29214.0,Nyctalus leisleri,0.491,0.668,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
18.2235,18.2354,23750.0,29963.0,Nyctalus leisleri,0.336,0.562,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
18.5535,18.5662,23750.0,29395.0,Nyctalus leisleri,0.356,0.552,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
18.7075,18.7215,23750.0,28762.0,Nyctalus leisleri,0.399,0.582,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
18.8675,18.8813,23750.0,29481.0,Nyctalus leisleri,0.433,0.616,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
19.0225,19.0387,23750.0,28141.0,Nyctalus leisleri,0.414,0.533,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
19.2415,19.259,22031.0,28870.0,Nyctalus noctula,0.253,0.554,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
19.4045,19.4192,22890.0,28161.0,Nyctalus leisleri,0.264,0.534,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
19.5725,19.5897,22890.0,27901.0,Nyctalus leisleri,0.401,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240723_043000.WAV,recover-20240729,UBNA_007,Carp Pond
